,이름,전화번호,측정일,측정 체중
0,안윤후,01088757123,2016년 01월 03일,79.9
0,신설안,010-7475-2483,2016년 01월 04일,53.8
0,장성우,010-7895-2793,2016년 01월 04일,75.4
0,백슬미,010-4425-4253,2016년 01월 04일,58.8
0,조송빈,010-1631-7383,2016년 01월 04일,69.8
0,김채혁,01037877973,2016년 01월 05일,74.4
0,권성현,010-6673-3623,2016년 01월 05일,81.5
0,류성재,010-5738-7973,2016년 01월 05일,73.5
0,유윤상,010-1952-4173,2016년 01월 05일,75.0
0,문솔미,010-3339-5183,2016년 01월 05일,50.3
0,류소연,010-3761-6773,2016년 01월 05일,58.6
0,박초윤,010-6598-9163,2016년 01월 05일,52.7
0,오승환,010-5991-6323,2016년 01월 05일,77.4
0,송서빈,010-5739-9643,2016년 01월 05일,76.6
0,임수한,01092776983,2016년 01월 05일,74.0
0,윤설희,010-4521-1433,2016년 01월 05일,59.3
0,손채아,01036664383,2016년 01월 05일,62.4
0,조서준,010-5847-4213,2016년 01월 06일,78.7
0,신채연,01076274183,2016년 01월 06일,62.7
0,전채율,01011471393,2016년 01월 06일,59.4
1,조효찬,01011279993,2016년 01월 06일,72.8
0,손서훈,010-5223-1563,2016년 01월 06일,81.2
0,조지은,010-3825-3323,2016년 01월 06일,61.9
1,안윤후,01088757123,2016년 01월 06일,77.1
0,고슬지,010-1227-8923,2016년 01월 06일,45.4
0,류재우,010-1467-3883,2016년 01월 06일,79.6
0,조효찬,01011279993,2016년 01월 06일,75.5
0,임영준,010-1546-2843,2016년 01월 06일,78.4
0,류동환,01063631213,2016년 01월 06일,76.0
0,전준일,010-8726-3363,2016년 01월 06일,79.6
1,박초윤,010-6598-9163,2016년 01월 07일,52.4
0,윤세연,01052643213,2016년 01월 07일,58.8
1,백슬미,010-4425-4253,2016년 01월 07일,57.7
1,신설안,010-7475-2483,2016년 01월 07일,50.8
0,유세빈,010-6592-4193,2016년 01월 07일,57.0
0,권장완,010-4799-7113,2016년 01월 07일,76.5
